,atm,bar,bus_stop,drinking_water,fast_food,hospital,hostel,incident_0,incident_1,incident_10,incident_11,incident_12,incident_13,incident_14,incident_15,incident_16,incident_17,incident_18,incident_19,incident_2,incident_20,incident_21,incident_22,incident_23,incident_3,incident_4,incident_5,incident_6,incident_7,incident_8,incident_9,name,nightclub,parking,place_of_worship,points,police,pub,restaurant,shop,taxi
100382529,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[{'lon': '151.20956', 'lat': '-33.8764'}, {'lon': '151.20962', 'lat': '-33.8766'}, {'lon': '151.20969', 'lat': '-33.87669'}, {'lon': '151.20975', 'lat': '-33.87673'}, {'lon': '151.20986', 'lat': '-33.87681'}]",0,1,1,3,0
100637112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.23188', 'lat': '-33.90634'}, {'lon': '151.23173', 'lat': '-33.90639'}, {'lon': '151.23167', 'lat': '-33.90649'}, {'lon': '151.23173', 'lat': '-33.90662'}]",0,0,0,0,0
100945911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Edward Avenue,0,1,0,"[{'lon': '151.22161', 'lat': '-33.92106'}, {'lon': '151.22257', 'lat': '-33.92118'}, {'lon': '151.22301', 'lat': '-33.92124'}, {'lon': '151.22314', 'lat': '-33.92122'}, {'lon': '151.22379', 'lat': '-33.9211'}]",0,0,0,0,0
101479517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22309', 'lat': '-33.90998'}, {'lon': '151.22311', 'lat': '-33.90989'}, {'lon': '151.22318', 'lat': '-33.9099'}, {'lon': '151.22341', 'lat': '-33.90993'}, {'lon': '151.2235', 'lat': '-33.90995'}, {'lon': '151.22348', 'lat': '-33.91003'}]",0,0,0,2,0
101482684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22332', 'lat': '-33.9089'}, {'lon': '151.22355', 'lat': '-33.90882'}]",0,0,0,0,0
101505708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlton Street,0,0,0,"[{'lon': '151.22391', 'lat': '-33.90558'}, {'lon': '151.22403', 'lat': '-33.90559'}, {'lon': '151.22505', 'lat': '-33.90575'}, {'lon': '151.22614', 'lat': '-33.90591'}]",0,0,0,0,0
101505709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abbotford Street,0,0,0,"[{'lon': '151.22395', 'lat': '-33.90456'}, {'lon': '151.22408', 'lat': '-33.9045'}]",0,0,0,0,0
101505710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abbotford Street,0,0,0,"[{'lon': '151.2241', 'lat': '-33.90462'}, {'lon': '151.22395', 'lat': '-33.90456'}]",0,0,0,0,0
101506528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anzac Parade,0,0,0,"[{'lon': '151.22019', 'lat': '-33.8892'}, {'lon': '151.2207', 'lat': '-33.89052'}, {'lon': '151.22078', 'lat': '-33.89078'}]",0,0,0,0,0
101506529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anzac Parade,0,0,0,"[{'lon': '151.22005', 'lat': '-33.88923'}, {'lon': '151.21982', 'lat': '-33.88862'}, {'lon': '151.21944', 'lat': '-33.88773'}, {'lon': '151.21901', 'lat': '-33.8868'}, {'lon': '151.21896', 'lat': '-33.88667'}]",0,0,0,0,0
101506530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.21826', 'lat': '-33.88658'}, {'lon': '151.21834', 'lat': '-33.88669'}]",0,1,0,0,0
101511924,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,William Street Offramp,0,0,0,"[{'lon': '151.21694', 'lat': '-33.88015'}, {'lon': '151.21693', 'lat': '-33.87968'}, {'lon': '151.21691', 'lat': '-33.87933'}, {'lon': '151.21691', 'lat': '-33.87899'}, {'lon': '151.21705', 'lat': '-33.87779'}, {'lon': '151.21718', 'lat': '-33.87681'}, {'lon': '151.21724', 'lat': '-33.87636'}, {'lon': '151.21724', 'lat': '-33.87611'}]",0,7,3,3,0
101511932,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,William Street Offramp,0,0,0,"[{'lon': '151.21724', 'lat': '-33.87597'}, {'lon': '151.2172', 'lat': '-33.87554'}, {'lon': '151.21716', 'lat': '-33.87516'}, {'lon': '151.21718', 'lat': '-33.87498'}, {'lon': '151.21724', 'lat': '-33.87469'}, {'lon': '151.21724', 'lat': '-33.87461'}, {'lon': '151.21725', 'lat': '-33.8745'}]",0,0,0,2,0
101666992,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Darlinghurst Road,1,0,0,"[{'lon': '151.21992', 'lat': '-33.87912'}, {'lon': '151.21996', 'lat': '-33.87903'}, {'lon': '151.22025', 'lat': '-33.87847'}]",0,1,1,0,0
101670087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22041', 'lat': '-33.87987'}, {'lon': '151.22049', 'lat': '-33.87994'}, {'lon': '151.22063', 'lat': '-33.88011'}, {'lon': '151.22067', 'lat': '-33.88017'}, {'lon': '151.22061', 'lat': '-33.88023'}, {'lon': '151.22051', 'lat': '-33.88033'}, {'lon': '151.2204', 'lat': '-33.88043'}, {'lon': '151.22008', 'lat': '-33.88018'}]",0,0,0,0,0
101670088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22032', 'lat': '-33.87995'}, {'lon': '151.22021', 'lat': '-33.87988'}, {'lon': '151.21984', 'lat': '-33.87967'}, {'lon': '151.21969', 'lat': '-33.87958'}]",0,0,0,0,0
101670089,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22053', 'lat': '-33.87976'}, {'lon': '151.22051', 'lat': '-33.87974'}, {'lon': '151.22036', 'lat': '-33.87963'}, {'lon': '151.22023', 'lat': '-33.87953'}, {'lon': '151.22001', 'lat': '-33.87924'}, {'lon': '151.21996', 'lat': '-33.8792'}, {'lon': '151.21992', 'lat': '-33.87912'}]",0,0,0,0,0
101670090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22023', 'lat': '-33.87953'}, {'lon': '151.22021', 'lat': '-33.87988'}]",0,0,0,0,0
101670091,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Ambulance Only Lane,0,0,0,"[{'lon': '151.22113', 'lat': '-33.87934'}, {'lon': '151.22107', 'lat': '-33.87942'}, {'lon': '151.22102', 'lat': '-33.87949'}, {'lon': '151.22096', 'lat': '-33.87954'}, {'lon': '151.22063', 'lat': '-33.87981'}]",0,0,0,0,0
101670092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22055', 'lat': '-33.87975'}, {'lon': '151.22063', 'lat': '-33.87981'}, {'lon': '151.22082', 'lat': '-33.87992'}]",0,0,0,0,0
10184084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Addison Street,0,0,0,"[{'lon': '151.17436', 'lat': '-33.85526'}, {'lon': '151.17508', 'lat': '-33.85491'}]",0,1,0,0,0
10184089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gow Lane,0,0,0,"[{'lon': '151.17562', 'lat': '-33.854'}, {'lon': '151.17652', 'lat': '-33.85327'}, {'lon': '151.17617', 'lat': '-33.85296'}]",0,1,0,0,0
101912732,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cross City Tunnel,2,1,0,"[{'lon': '151.20122', 'lat': '-33.87402'}, {'lon': '151.20151', 'lat': '-33.87401'}, {'lon': '151.20169', 'lat': '-33.87402'}]",0,0,1,2,0
101914247,3,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bathurst Street Offramp,2,1,0,"[{'lon': '151.20167', 'lat': '-33.87395'}, {'lon': '151.20179', 'lat': '-33.87395'}, {'lon': '151.20262', 'lat': '-33.87395'}]",0,0,1,2,0
101914251,4,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cross City Tunnel,2,1,0,"[{'lon': '151.20169', 'lat': '-33.87402'}, {'lon': '151.20254', 'lat': '-33.87406'}]",0,0,1,2,0
101916902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Distributor Onramp,1,0,0,"[{'lon': '151.19863', 'lat': '-33.87407'}, {'lon': '151.19948', 'lat': '-33.87389'}]",0,0,0,0,0
10203297,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,University Walk,0,1,0,"[{'lon': '151.22986', 'lat': '-33.9177'}, {'lon': '151.22991', 'lat': '-33.91743'}, {'lon': '151.22997', 'lat': '-33.9174'}, {'lon': '151.23028', 'lat': '-33.91721'}, {'lon': '151.23043', 'lat': '-33.91716'}]",0,0,0,2,0
10203380,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basser Steps,0,0,0,"[{'lon': '151.23144', 'lat': '-33.91685'}, {'lon': '151.2318', 'lat': '-33.91687'}, {'lon': '151.2319', 'lat': '-33.91688'}, {'lon': '151.23224', 'lat': '-33.91693'}]",0,0,1,2,0
10203385,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,University Walk,0,0,0,"[{'lon': '151.23224', 'lat': '-33.91693'}, {'lon': '151.23231', 'lat': '-33.91687'}, {'lon': '151.23237', 'lat': '-33.91683'}]",0,0,3,1,0
10203403,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,University Mall,0,1,0,"[{'lon': '151.23118', 'lat': '-33.91787'}, {'lon': '151.23111', 'lat': '-33.91786'}]",0,0,0,2,0
10203472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[{'lon': '151.23119', 'lat': '-33.91716'}, {'lon': '151.23112', 'lat': '-33.91695'}, {'lon': '151.23107', 'lat': '-33.91677'}, {'lon': '151.23105', 'lat': '-33.91672'}, {'lon': '151.23107', 'lat': '-33.91665'}]",0,0,0,2,0
10203501,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gate 4 - Fig Tree Lane,0,1,0,"[{'lon': '151.23107', 'lat': '-33.91665'}, {'lon': '151.23109', 'lat': '-33.91653'}, {'lon': '151.23113', 'lat': '-33.91634'}, {'lon': '151.23115', 'lat': '-33.91624'}, {'lon': '151.23119', 'lat': '-33.91606'}, {'lon': '151.23124', 'lat': '-33.91582'}]",0,0,0,2,0
10205952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Todman Avenue,0,0,0,"[{'lon': '151.22339', 'lat': '-33.91002'}, {'lon': '151.22317', 'lat': '-33.90999'}]",0,0,0,2,0
10208115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anzac Parade,0,0,0,"[{'lon': '151.22392', 'lat': '-33.90404'}, {'lon': '151.224', 'lat': '-33.90424'}, {'lon': '151.22404', 'lat': '-33.90435'}, {'lon': '151.22407', 'lat': '-33.90445'}, {'lon': '151.22408', 'lat': '-33.9045'}]",0,0,0,0,0
10208772,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.21932', 'lat': '-33.88688'}, {'lon': '151.22', 'lat': '-33.88836'}, {'lon': '151.22062', 'lat': '-33.88996'}, {'lon': '151.22082', 'lat': '-33.89058'}, {'lon': '151.22111', 'lat': '-33.89154'}, {'lon': '151.22118', 'lat': '-33.89197'}, {'lon': '151.22136', 'lat': '-33.89291'}, {'lon': '151.22139', 'lat': '-33.89311'}, {'lon': '151.22162', 'lat': '-33.89459'}, {'lon': '151.22168', 'lat': '-33.89491'}, {'lon': '151.22175', 'lat': '-33.89502'}, {'lon': '151.22175', 'lat': '-33.89507'}]",0,0,0,0,0
10208861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anzac Parade,0,0,0,"[{'lon': '151.21909', 'lat': '-33.88669'}, {'lon': '151.21918', 'lat': '-33.88683'}, {'lon': '151.21933', 'lat': '-33.8871'}, {'lon': '151.21977', 'lat': '-33.88805'}, {'lon': '151.22019', 'lat': '-33.8892'}]",0,0,0,0,0
10208997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anzac Parade,0,0,0,"[{'lon': '151.22396', 'lat': '-33.90528'}, {'lon': '151.22397', 'lat': '-33.90519'}, {'lon': '151.22398', 'lat': '-33.90499'}, {'lon': '151.22398', 'lat': '-33.90473'}, {'lon': '151.22395', 'lat': '-33.90456'}]",0,0,0,0,0
10209068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anzac Parade Offramp,0,0,0,"[{'lon': '151.21948', 'lat': '-33.88758'}, {'lon': '151.22019', 'lat': '-33.8892'}]",0,0,0,0,0
10209385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alison Road,0,0,0,"[{'lon': '151.22265', 'lat': '-33.90108'}, {'lon': '151.22287', 'lat': '-33.90141'}, {'lon': '151.2233', 'lat': '-33.90178'}]",0,0,0,0,0
10249458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ennis Street,0,0,0,"[{'lon': '151.17728', 'lat': '-33.86003'}, {'lon': '151.17771', 'lat': '-33.86007'}, {'lon': '151.17805', 'lat': '-33.8601'}, {'lon': '151.17834', 'lat': '-33.86048'}, {'lon': '151.17861', 'lat': '-33.86076'}]",0,0,0,0,0
10263721,7,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,City Road,0,0,0,"[{'lon': '151.18834', 'lat': '-33.89129'}, {'lon': '151.18852', 'lat': '-33.89113'}, {'lon': '151.18878', 'lat': '-33.89088'}, {'lon': '151.18931', 'lat': '-33.89035'}, {'lon': '151.18963', 'lat': '-33.89004'}, {'lon': '151.18997', 'lat': '-33.88966'}, {'lon': '151.19007', 'lat': '-33.88955'}, {'lon': '151.19017', 'lat': '-33.88942'}, {'lon': '151.19031', 'lat': '-33.88928'}, {'lon': '151.19039', 'lat': '-33.8892'}]",0,1,0,0,0
102881522,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.23387', 'lat': '-33.90069'}, {'lon': '151.23368', 'lat': '-33.90072'}, {'lon': '151.23348', 'lat': '-33.90082'}, {'lon': '151.23324', 'lat': '-33.90086'}, {'lon': '151.23302', 'lat': '-33.90079'}, {'lon': '151.23281', 'lat': '-33.90076'}, {'lon': '151.2327', 'lat': '-33.90064'}, {'lon': '151.23264', 'lat': '-33.90049'}, {'lon': '151.23256', 'lat': '-33.90023'}, {'lon': '151.23254', 'lat': '-33.89994'}, {'lon': '151.23248', 'lat': '-33.89984'}, {'lon': '151.23234', 'lat': '-33.89978'}, {'lon': '151.23213', 'lat': '-33.89976'}, {'lon': '151.23174', 'lat': '-33.89971'}, {'lon': '151.23154', 'lat': '-33.89969'}, {'lon': '151.23036', 'lat': '-33.89958'}, {'lon': '151.23018', 'lat': '-33.89955'}, {'lon': '151.23009', 'lat': '-33.8995'}, {'lon': '151.22979', 'lat': '-33.89928'}, {'lon': '151.22838', 'lat': '-33.89802'}, {'lon': '151.22835', 'lat': '-33.89794'}, {'lon': '151.22835', 'lat': '-33.89784'}, {'lon': '151.2284', 'lat': '-33.89771'}, {'lon': '151.22859', 'lat': '-33.89759'}, {'lon': '151.22864', 'lat': '-33.8975'}]",0,0,0,0,0
103029850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fleet Steps,0,0,0,"[{'lon': '151.22164', 'lat': '-33.86132'}, {'lon': '151.22137', 'lat': '-33.86127'}, {'lon': '151.22116', 'lat': '-33.86122'}]",0,0,0,0,0
103029851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.21768', 'lat': '-33.86568'}, {'lon': '151.21765', 'lat': '-33.86567'}, {'lon': '151.21764', 'lat': '-33.86564'}, {'lon': '151.21764', 'lat': '-33.86562'}, {'lon': '151.21765', 'lat': '-33.8656'}, {'lon': '151.21768', 'lat': '-33.86558'}, {'lon': '151.21771', 'lat': '-33.86559'}, {'lon': '151.21774', 'lat': '-33.86561'}, {'lon': '151.21774', 'lat': '-33.86565'}, {'lon': '151.21772', 'lat': '-33.86568'}, {'lon': '151.21768', 'lat': '-33.86568'}]",0,0,0,0,0
103029852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22116', 'lat': '-33.86122'}, {'lon': '151.22098', 'lat': '-33.86118'}]",0,0,0,0,0
103108165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'lon': '151.22186', 'lat': '-33.86001'}, {'lon': '151.22179', 'lat': '-33.85998'}, {'lon': '151.22179', 'lat': '-33.85988'}, {'lon': '151.2218', 'lat': '-33.85969'}, {'lon': '151.22187', 'lat': '-33.85966'}, {'lon': '151.22195', 'lat': '-33.85965'}, {'lon': '151.22206', 'lat': '-33.85964'}, {'lon': '151.22215', 'lat': '-33.85967'}, {'lon': '151.22226', 'lat': '-33.85971'}, {'lon': '151.22239', 'lat': '-33.85978'}, {'lon': '151.22247', 'lat': '-33.85984'}, {'lon': '151.22253', 'lat': '-33.85993'}, {'lon': '151.22254', 'lat': '-33.86014'}, {'lon': '151.22249', 'lat': '-33.86027'}, {'lon': '151.22243', 'lat': '-33.86043'}, {'lon': '151.22241', 'lat': '-33.86054'}, {'lon': '151.22241', 'lat': '-33.86064'}, {'lon': '151.22244', 'lat': '-33.86076'}, {'lon': '151.22245', 'lat': '-33.86092'}, {'lon': '151.22248', 'lat': '-33.86103'}, {'lon': '151.22251', 'lat': '-33.86115'}, {'lon': '151.22254', 'lat': '-33.86127'}, {'lon': '151.22256', 'lat': '-33.86131'}, {'lon': '151.22257', 'lat': '-33.86152'}, {'lon': '151.22257', 'lat': '-33.86165'}, {'lon': '151.2226', 'lat': '-33.86178'}, {'lon': '151.22267', 'lat': '-33.86186'}, {'lon': '151.2227', 'lat': '-33.86195'}, {'lon': '151.22271', 'lat': '-33.86205'}, {'lon': '151.22266', 'lat': '-33.86218'}, {'lon': '151.22257', 'lat': '-33.86223'}]",0,0,0,0,0
103176796,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boundary Street,0,0,0,"[{'lon': '151.19605', 'lat': '-33.88879'}, {'lon': '151.19579', 'lat': '-33.88897'}, {'lon': '151.1954', 'lat': '-33.88924'}, {'lon': '151.19501', 'lat': '-33.8895'}, {'lon': '151.19492', 'lat': '-33.88957'}, {'lon': '151.1947', 'lat': '-33.88972'}, {'lon': '151.19457', 'lat': '-33.8898'}, {'lon': '151.19445', 'lat': '-33.88981'}]",0,0,2,2,0
